TotalCoinSupply,TotalCoinsMined,CoinName,Class
4.2e-11,0.0,42 Coin,0
0.000532,0.0010658554443703134,404Coin,0
0.314159265359,0.029575513522791114,EliteCoin,0
2.1e-05,1.8108421598585816e-05,Bitcoin,1
0.0,0.00010877313976335468,Ethereum,1
8.4e-05,6.367668686211587e-05,Litecoin,1
2.2e-05,9.122581150127228e-06,Dash,0
0.0,1.7375047727488684e-05,Monero,1
0.00021,0.00011450601351907833,Ethereum Classic,1
2.1e-05,7.457675173596279e-06,ZCash,1
0.0036005705019999997,0.002769294155476739,Bitshares,0
0.021,0.011521564786182067,DigiByte,1
2.2e-05,1.3018532258038877e-06,BitcoinDark,0
1.2499999999999999e-05,1.2116595595934655e-05,PayCoin,0
2.1e-05,5.826599760162344e-06,ProsperCoin,1
0.00035,2.5800792718705074e-05,KoboCoin,0
1.9999999999999998e-05,1.1262443547866963e-05,Spreadcoin,1
6.4e-05,1.2329184444043638e-05,Argentum,1
1.6768584e-05,1.831844923844183e-05,Aurora Coin,0
0.0,0.0006418495982840718,BlueCoin,0
0.002,0.0017053267225703456,MyriadCoin,1
0.384,4.646522283282147e-11,MoonCoin,1
0.000169795588,0.00017192554364660632,ZetaCoin,1
0.00025,0.0001302448274794628,SexCoin,1
9.999999999999999e-05,7.432158258950554e-06,Quatloo,1
0.0,0.0001243072344799435,EnergyCoin,0
0.000247,0.00026218190106836077,QuarkCoin,1
8.4e-05,5.004960407203722e-05,Riecoin,1
4.8166e-05,3.3781139008450015e-05,Digitalcoin ,1
5e-07,4.2967638288704366e-08,BitBar,0
2.1e-05,7.292926220874455e-06,Catcoin,1
1e-06,1.0495823209192735e-06,CryptoBullion,0
1.314e-05,4.751405197486568e-06,CannaCoin,1
1.8e-05,5.047475933992751e-06,CryptCoin,1
0.04,0.04040449827006263,CasinoCoin,0
4.3799999999999996e-06,3.3378620409334326e-06,Diamond,0
0.016555,0.016090618419729627,Verge,1
0.021,0.018963708579634225,DevCoin,1
0.0135,0.012665816261468323,EarthCoin,1
2.1e-05,2.1121894142137528e-05,E-Gulden,1
0.000299792458,0.0002210852018189937,Einsteinium,1
3.2e-05,1.969390564401809e-05,Emerald,1
0.0,5.737098739796257e-06,Exclusive Coin,0
0.0,0.00046650012982872547,FlutterCoin,0
1.1235812999999999e-05,1.1542456330155606e-06,Franko,1
0.000336,0.00021077922221115263,FeatherCoin,1
0.001420609614,0.000893066504733897,GrandCoin,1
7e-05,6.633679513934237e-05,GlobalCoin,1
7.22457e-05,4.2079879736249724e-05,GoldCoin,1
0.00012,9.016960544770809e-05,HoboNickels,0
0.0,0.001695494126403373,HyperStake,0
0.0906,0.09151190488395176,Infinite Coin,1
2.2e-05,1.782936687612714e-05,IOCoin,0
2.1e-05,2.130257316436215e-05,IXcoin,1
0.0002654208,0.0001529791256713188,KrugerCoin,1
1.9999999999999998e-05,1.952171462386499e-05,LuckyCoin,1
1.35e-06,1.1154695144323575e-06,Litebar ,1
9.999999999999999e-05,6.206713487587533e-05,MaxCoin,0
4.2e-05,3.853777066024121e-05,MegaCoin,1
0.00019999999999999998,4.084068267938516e-05,MediterraneanCoin,1
0.0,0.021509260777747684,MintCoin,0
9.999999999999999e-06,5.8628576360991e-06,MinCoin,1
0.0024192,0.0016301560170937082,MazaCoin,0
1.618e-05,1.634357824597457e-05,Nautilus Coin,0
0.0,6.675536126159023e-05,NavCoin,0
0.015,0.0023899931703711126,NobleCoin,1
2.1e-05,1.4885379803443286e-05,Namecoin,1
0.000337,0.0003380939367828343,NyanCoin,1
0.0,1.530959103431023e-05,OpalCoin,0
3.77e-06,3.253142420400061e-06,Orbitcoin,0
0.00042,0.00022492901282684556,PotCoin,0
9.8e-05,7.470714728778826e-05,PhoenixCoin,0
0.0,0.02961202156181921,Reddcoin,0
2.1e-05,1.1152808176527055e-06,RonPaulCoin,1
0.00025,2.446001595507046e-05,StableCoin,1
5.12e-05,2.5852512043003808e-05,SmartCoin,1
0.0,5.1220401872430455e-05,SuperCoin,0
1e-09,1.1464777636450732e-09,SyncCoin,0
0.000888,0.0005690332542950281,SysCoin,1
9.999999999999999e-05,8.107205733460473e-05,TeslaCoin,0
4.7011968e-05,4.3977024597207445e-05,TigerCoin,1
0.0023,0.0016387322668513756,TittieCoin,0
9.999999999999999e-06,1.4462882058089128e-06,TorCoin,0
4.2e-05,2.316728836365402e-05,TerraCoin,1
7.999999999999999e-05,2.3011454264237876e-06,UnbreakableCoin,1
2.5e-07,2.0290109255462446e-07,Unobtanium,1
0.0,1.2194765290836668e-06,UroCoin,1
0.0015999999999999999,0.001110065736838991,UnitaryStatus Dollar,0
9.999999999999999e-05,5.074317359596724e-05,UltraCoin,0
2.3e-05,2.3384963742223858e-05,ViaCoin,1
0.0,3.2344880280320785e-05,VeriCoin,0
8.4e-05,5.169117700448562e-05,Vertcoin,1
0.0002654208,0.0001208164268757715,WorldCoin,1
5.5e-06,7.02107913256062e-06,X11 Coin,0
0.0,0.00010101121017516,Crypti,0
4.4999999999999996e-05,3.959206487073396e-05,JouleCoin,1
0.0,3.3428344146286866e-05,StealthCoin,0
0.001,0.000149486750682716,ZCC Coin,0
0.184467440735,0.18592820936339893,ByteCoin,1
0.01,0.006976430614728428,DigitalNote ,1
0.0021588128,0.0018313682302272918,BurstCoin,0
0.0005,5.169059132444013e-05,StorjCoin,0
0.00010512,6.88842528690752e-05,MonaCoin,1
6.8e-05,3.9517270722996776e-05,Neutron,0
0.0,5.373171257426225e-05,FairCoin,0
0.00168,0.00041922940371274717,Gulden,1
0.0,2.7459351832994873e-05,RubyCoin,0
0.000166386,0.00013890826284479005,PesetaCoin,1
1.2e-05,2.0428746910438998e-06,Kore,0
2.628e-06,1.8371648199843193e-07,Wild Beast Coin,1
0.0005,0.00017641218487765833,Dnotes,0
0.00015999999999999999,0.00015381046349316466,Flo,1
0.0,1.4826421555945544e-06,8BIT Coin,0
9.999999999999999e-06,7.1685584936518354e-06,Sativa Coin,0
0.001,0.0008005517611206417,ArtByte,1
0.001,0.0007266920705903823,Folding Coin,1
1.9999999999999998e-05,2.716970369101339e-06,Ucoin,0
0.0,6.577171953463686e-05,Unitus,1
0.0,6.429611685370236e-06,CypherPunkCoin,1
3.3713369999999998e-06,1.0242543481404855e-05,OmniCron,1
1.9999999999999998e-05,1.1722032628249687e-05,Vtorrent,0
0.01,0.004656962788057776,GreenCoin,1
0.00184,0.0007156712681788526,Cryptonite,1
6.19478e-07,6.257000627009784e-07,MasterCoin,1
2.1e-05,1.2588606144078657e-05,SoonCoin,1
0.092,8.906263157644134e-08,1Credit,1
0.0,1.5289689463744187e-06,IslaCoin,0
7.8e-05,6.430091286755607e-05,Nexus,0
3.3e-05,3.254737390940308e-05,MarsCoin ,1
6.57891e-05,1.388166937063467e-05,Crypto,1
5.376e-05,1.4896289018926092e-05,Anarchists Prime,1
5.06e-06,8.65464044533528e-06,Droidz,0
2.1e-05,1.6024218544473603e-05,BowsCoin,1
0.0,3.3248663543496074e-07,Squall Coin,0
0.00021024,3.289457501821606e-05,Song Coin,1
0.00025,7.637911117242616e-05,BitZeny,1
9.999999999999999e-05,0.00010101121017516,Diggits,0
1.6906397e-05,1.0601369346955924e-05,Expanse,1
4.9999999999999996e-05,2.3275580507341256e-05,Paycon,0
0.0,0.03343300387173752,Siacoin,1
0.001,4.3495195674547396e-05,Emercoin,0
2.6297999999999998e-05,1.3667342096946377e-05,EverGreenCoin,0
1.6e-05,1.602811505354264e-05,MindCoin,1
2.1e-05,2.120977197104188e-05,I0coin,1
2.1e-05,1.0469821310022305e-05,Decred,0
0.00021,0.00021212358803498338,Revolution VR,1
8.196209999999999e-05,1.1564684369737338e-05,HOdlcoin,1
2.2e-05,3.7067592744553853e-06,EDRCoin,0
0.02655,0.011107518609238073,Hitcoin,0
8.4e-05,7.054227695219703e-05,Gamecredits,1
1.05e-05,5.180838862741675e-06,DubaiCoin,0
0.02162628,0.0219598179179117,CarpeDiemCoin,1
0.0,0.010171276554625372,PWR Coin,0
4.2e-05,9.089700841491067e-06,BillaryCoin,0
0.000221052632,4.088632471488365e-05,GPU Coin,0
8.4e-05,4.556646089956654e-05,Adzcoin,1
3e-05,5.759667683964639e-06,SoilCoin,1
0.0001683513,6.428563793372448e-07,YoCoin,1
2.4e-05,1.743788870157756e-05,SibCoin,1
0.000384,1.051247114981269e-05,EuropeCoin,0
0.099,0.037345108590098736,ZeitCoin,0
3.9999999999999996e-05,4.421302536434042e-06,SwingCoin,0
0.002147483647,0.002169200088786735,SafeExchangeCoin,0
1.9999999999999998e-05,2.0202208095288435e-05,Nebuchadnezzar,0
1.9999999999999998e-05,6.637212695356324e-06,Francs,1
2.4999999999999998e-05,1.3792117338373683e-05,BolivarCoin,1
7.5e-05,0.0001359155890671144,Ratecoin,0
0.000222725,1.2075723529647756e-06,Revenu,0
0.000525,1.6831280775777115e-05,Clockcoin,0
8.999999999999999e-05,8.429425494523455e-05,VIP Tokens,0
0.000139,2.4634303574462228e-05,BitSend,0
6.16448e-07,6.226394217472033e-07,Omni,1
3.35e-05,3.8980006684536215e-05,Let it Ride,0
0.002,0.0008213147135639345,PutinCoin,0
4.4333333e-05,4.572054144447702e-06,iBankCoin,0
9.999999999999999e-05,0.00010101121017516,Frankywillcoin,0
0.00019999999999999998,5.0505202053125176e-06,MudraCoin,0
2.4999999999999998e-05,1.3918087968066747e-06,PizzaCoin,1
0.000657,0.0006636438871562658,Lutetium Coin,0
0.00019999999999999998,0.00011707011143822338,Komodo,1
4.9999999999999996e-05,1.5721220645668756e-05,GoldBlocks,0
8.999999999999999e-05,4.360196981630424e-05,CarterCoin,0
9.999999999999999e-06,7.901494854014166e-06,Karbo,1
2.1e-05,6.014078665632431e-07,BitTokens,0
9.736e-06,6.306938569650361e-06,ZayedCoin,1
3e-06,6.642442854597716e-07,MustangCoin,0
2.1e-05,2.60803781407262e-06,ZoneCoin,0
0.0012,0.001010112483573715,Circuits of Value,1
0.0,1.9594637532670447e-06,RootCoin,0
0.00019999999999999998,0.00011802678598125889,DopeCoin,1
0.0,0.00017131364398891228,BitCurrency,0
1.0638297999999999e-05,9.198763457405489e-06,DollarCoin,1
0.0031,0.0006719268674458666,Swiscoin,0
3e-05,1.1231600774401894e-05,Shilling,1
0.02,0.019775768099222997,BuzzCoin,0
7.4e-05,7.478243316626309e-05,Opair,0
0.0,3.3861916349526105e-05,PesoBit,0
0.0015,0.00026735498365459823,Halloween Coin,0
2.14e-05,7.64477326578056e-06,ZCoin,1
3.9999898e-05,0.00015022067624351898,CoffeeCoin,0
2.500124e-06,2.5253641442697554e-06,RoyalCoin,0
9.999999999999999e-05,0.00010101121017516,GanjaCoin V2,0
0.000301,1.799883162737528e-05,TeamUP,0
0.007506,0.0010931059908985078,LanaCoin,0
2.6205539e-05,2.6470500769759988e-05,Elementrem,1
2.1e-05,5.670274745638833e-06,ZClassic,1
0.000125,0.00010929623796285102,ARK,0
3e-05,1.8528262748666736e-05,InsaneCoin,0
0.01,0.00019828299691049012,KiloCoin,1
0.0005,0.0008323326789979977,ArtexCoin,1
0.00085,0.09312512499722704,EmberCoin,0
3.85332677707314e-06,3.892251219607147e-06,XenixCoin,0
4.9999999999999996e-05,5.050558387524027e-05,FreeCoin,0
3.854e-05,1.7262376599622708e-05,PLNCoin,0
4.2e-05,2.4743064059498467e-06,AquariusCoin,0
0.00022799999999999999,6.198532384216967e-05,Kurrent,1
1.9999999999999998e-05,2.0202208095288435e-05,Creatio,0
6e-05,6.130817447836677e-06,Eternity,0
1.9999999999999998e-05,1.2542074300456016e-05,Eurocoin,0
3.3e-05,2.044869943142752e-05,BitcoinFast,0
7.65e-05,7.635473614706129e-05,Stakenet,0
2.8e-05,1.1192734045396626e-05,BitConnect Coin,0
0.000650659833,1.102474791110289e-05,MoneyCoin,0
4.9999999999999996e-06,8.22866956988183e-07,Enigma,0
2.1e-05,9.879940920632446e-07,Cannabis Industry Coin,1
0.000144,8.462552033844294e-06,Russiacoin,0
0.032514916898,0.034155080075394764,PandaCoin,0
1.3e-05,3.5080612062000273e-06,GameUnits,0
3.315789e-06,3.349277577788236e-06,GAKHcoin,0
1.5e-05,1.0624091564757174e-05,Allsafe,0
7.88352e-05,3.053338648306851e-05,LiteCreed,0
2.714286e-06,9.030244364887856e-07,OsmiumCoin,1
2.4999999999999998e-05,9.45166937098981e-06,Bikercoins,1
9.999999e-06,1.895076598604205e-06,HexxCoin,1
0.0005,2.4207680022731743e-05,Klingon Empire Darsek,0
2.1e-05,2.5515810848300206e-06,Internet of People,0
9.354e-06,5.716282297716262e-06,KushCoin,0
1.9999999999999998e-05,1.1941233107066495e-05,Printerium,0
0.09999999999999999,0.0005424122767593174,PacCoin,1
2.1933333e-05,3.112530434702042e-07,Impeach,0
0.000185,1.1080203617022588e-05,Citadel,1
5.5e-05,2.952126549266365e-06,Zilbercoin,0
0.00011,0.00011111233543514395,FirstCoin,0
3.36e-06,3.1467187028372516e-06,BeaverCoin,1
1.4524851482699999e-05,1.4671691996262168e-05,FindCoin,0
0.001,3.06927721385458e-05,VaultCoin,1
1.7e-05,6.991606880143162e-06,Zero,1
0.001,0.001010112483573715,OpenChat,0
9.999999999999999e-05,0.00010085303495353078,Canada eCoin,1
2.1e-05,1.8733259530199216e-05,Zoin,1
3.4426423e-05,3.641488282863465e-05,RenosCoin,0
2.232901e-06,2.2554388447348865e-06,DubaiCoin,1
9.999999999999999e-05,1.329581530346377e-05,VirtacoinPlus,0
3.69e-05,1.230736649923973e-05,TajCoin,0
0.00011,0.00011174909809914192,Impact,0
0.004,6.4744182567565e-05,EB3coin,1
